id_contrato;id_trabajador;sexo;edad_inicio;nivel_educativo;ccaa;sector;tamano_empresa;provincia;contratos_previos_empresa;salario_base_mensual;jornada_parcial
2276;796120;Hombre;27;Primaria o secundaria;Resto;Servicios no de mercado;50-249;48;15;803,9;0
2277;306652;Hombre;25;Primaria o secundaria;Madrid;Hostelería;50-249;25;9;680,4;1
2278;965543;Hombre;25;Primaria o secundaria;Madrid;Servicios no de mercado;10-49;29;12;849,4;0
2279;332741;Mujer;25;Primaria o secundaria;Resto;Industria y construcción;50-249;1;11;768,5;0
2280;687663;Mujer;25;Primaria o secundaria;Castilla-La Mancha;Servicios no de mercado;1-9;5;10;697,6;0
2281;521302;Hombre;25;Primaria o secundaria;Madrid;Hostelería;1-9;21;14;1001,1;0
2282;904516;Mujer;20;Primaria o secundaria;C. Valenciana;Servicios no de mercado;1-9;30;11;790,1;0
2283;678687;Mujer;28;Postsecundaria;Madrid;Industria y construcción;1-9;49;13;973,9;0
2284;443577;Mujer;21;Primaria o secundaria;Resto;Servicios no de mercado;1-9;16;10;963,2;0
2285;729324;Hombre;24;Primaria o secundaria;Cataluña;Hostelería;1-9;16;11;922,6;0
2286;235873;Hombre;22;Primaria o secundaria;Andalucía;Hostelería;10-49;6;8;767,3;0
2287;242116;Mujer;27;Primaria o secundaria;Resto;Hostelería;1-9;41;12;837,0;1
2288;644937;Hombre;26;Primaria o secundaria;Andalucía;Industria y construcción;10-49;1;9;910,0;1
2289;256363;Mujer;21;Primaria o secundaria;Madrid;Hostelería;10-49;43;16;813,5;0
2290;427966;Mujer;21;Primaria o secundaria;Castilla-La Mancha;Servicios alta cualificación y comercio;1-9;3;11;888,8;0
2291;372691;Mujer;19;Primaria o secundaria;Galicia;Servicios alta cualificación y comercio;1-9;48;20;683,7;0
2292;531708;Hombre;22;Primaria o secundaria;Resto;Hostelería;1-9;41;11;704,2;0
2293;372373;Mujer;20;Primaria o secundaria;Cataluña;Servicios no de mercado;1-9;32;12;679,9;0
2294;976374;Hombre;27;Postsecundaria;Andalucía;Hostelería;50-249;38;14;952,9;0
2295;418725;Hombre;25;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;1-9;28;9;867,7;1
2296;454745;Hombre;22;Primaria o secundaria;Cataluña;Hostelería;1-9;46;9;734,4;0
2297;688249;Mujer;24;Postsecundaria;Madrid;Servicios alta cualificación y comercio;50-249;37;14;1082,5;0
2298;624199;Mujer;26;Postsecundaria;Castilla-La Mancha;Hostelería;1-9;49;11;936,0;0
2299;122845;Mujer;22;FP superior;Andalucía;Servicios alta cualificación y comercio;250+;39;17;981,3;0
2300;426930;Hombre;30;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;1-9;48;11;933,1;0
2301;743080;Mujer;21;Primaria o secundaria;Madrid;Industria y construcción;10-49;16;14;1037,7;0
2302;627734;Hombre;23;Postsecundaria;Castilla-La Mancha;Hostelería;250+;48;8;802,5;1
2303;497416;Hombre;18;Primaria o secundaria;Resto;Hostelería;10-49;48;10;710,4;1
2304;650810;Mujer;23;Primaria o secundaria;Castilla y León;Servicios alta cualificación y comercio;1-9;47;16;1018,3;0
2305;946266;Hombre;26;Primaria o secundaria;C. Valenciana;Industria y construcción;1-9;33;13;1004,2;0
2306;926918;Hombre;28;Primaria o secundaria;Madrid;Hostelería;1-9;34;12;801,0;1
2307;881683;Mujer;20;Primaria o secundaria;Castilla-La Mancha;Hostelería;1-9;34;14;868,7;0
2308;732975;Mujer;29;Primaria o secundaria;Cataluña;Industria y construcción;1-9;11;14;1139,0;0
2309;854887;Mujer;16;Postsecundaria;País Vasco;Agricultura;10-49;7;9;870,5;0
2310;802391;Hombre;25;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;10-49;36;15;685,5;0
2311;904618;Hombre;27;Primaria o secundaria;Resto;Industria y construcción;1-9;12;9;969,8;0
2312;982741;Hombre;29;FP superior;Madrid;Hostelería;10-49;33;7;1012,8;0
2313;496912;Hombre;23;Primaria o secundaria;País Vasco;Hostelería;10-49;19;10;790,4;0
2314;604721;Hombre;23;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;10-49;32;11;841,8;0
2315;250525;Mujer;24;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;1-9;26;13;797,2;1
2316;385242;Hombre;22;Primaria o secundaria;Resto;Hostelería;10-49;22;9;741,1;0
2317;319805;Mujer;25;Primaria o secundaria;Resto;Industria y construcción;50-249;38;8;792,8;0
2318;801968;Hombre;24;Primaria o secundaria;Andalucía;Hostelería;10-49;48;5;953,5;1
2319;384558;Hombre;28;Primaria o secundaria;Resto;Industria y construcción;10-49;19;9;900,3;1
2320;119737;Hombre;21;Primaria o secundaria;Cataluña;Industria y construcción;10-49;37;7;752,2;0
2321;478281;Hombre;22;Postsecundaria;Madrid;Servicios no de mercado;1-9;26;15;940,6;1
2322;661288;Hombre;23;Postsecundaria;Madrid;Industria y construcción;1-9;43;15;901,8;0
2323;684436;Mujer;26;Postsecundaria;Resto;Agricultura;1-9;29;14;1143,9;1
2324;797387;Mujer;27;Primaria o secundaria;Castilla y León;Hostelería;1-9;29;12;890,1;0
2325;923833;Mujer;23;Primaria o secundaria;Galicia;Industria y construcción;1-9;12;16;1116,9;0
2326;923806;Hombre;25;Primaria o secundaria;Cataluña;Industria y construcción;1-9;47;17;793,2;1
2327;981494;Mujer;24;Primaria o secundaria;Andalucía;Industria y construcción;1-9;26;14;862,1;0
2328;500409;Hombre;27;Primaria o secundaria;C. Valenciana;Servicios no de mercado;1-9;47;16;855,4;0
2329;137402;Mujer;22;Postsecundaria;Resto;Hostelería;1-9;18;10;751,9;0
2330;985133;Hombre;24;Primaria o secundaria;País Vasco;Servicios no de mercado;1-9;8;19;773,1;0
2331;627218;Hombre;27;Primaria o secundaria;Andalucía;Hostelería;1-9;19;8;970,3;0
2332;888398;Hombre;22;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;1-9;11;10;859,6;0
2333;908306;Mujer;26;Primaria o secundaria;Andalucía;Hostelería;1-9;13;13;851,7;0
2334;145884;Mujer;26;Primaria o secundaria;Galicia;Industria y construcción;250+;4;15;942,6;1
2335;320306;Hombre;23;Primaria o secundaria;Andalucía;Hostelería;10-49;16;9;902,8;0
2336;226169;Mujer;20;Primaria o secundaria;C. Valenciana;Agricultura;1-9;13;14;882,2;0
2337;295268;Hombre;18;Primaria o secundaria;País Vasco;Servicios alta cualificación y comercio;10-49;38;15;527,8;0
2338;998314;Mujer;25;Primaria o secundaria;Madrid;Servicios alta cualificación y comercio;10-49;26;10;957,1;0
2339;406370;Mujer;18;Primaria o secundaria;Resto;Servicios no de mercado;10-49;22;12;389,0;0
2340;232463;Hombre;22;Primaria o secundaria;Castilla-La Mancha;Servicios alta cualificación y comercio;50-249;42;20;978,2;0
2341;805932;Hombre;26;Primaria o secundaria;Galicia;Servicios alta cualificación y comercio;10-49;14;11;899,1;0
2342;991579;Hombre;27;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;10-49;8;9;816,3;0
2343;447038;Mujer;28;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;1-9;41;10;783,6;1
2344;726696;Hombre;22;Primaria o secundaria;C. Valenciana;Hostelería;250+;46;12;944,8;1
2345;779235;Hombre;25;Primaria o secundaria;Galicia;Industria y construcción;50-249;46;12;862,5;0
2346;110244;Hombre;26;Postsecundaria;Andalucía;Hostelería;1-9;33;11;773,1;0
2347;130332;Hombre;20;Primaria o secundaria;Madrid;Servicios no de mercado;10-49;41;15;620,8;1
2348;533498;Hombre;16;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;1-9;16;8;420,8;0
2349;550042;Hombre;31;Postsecundaria;Castilla-La Mancha;Industria y construcción;50-249;50;8;1053,3;0
2350;483782;Mujer;24;Postsecundaria;Madrid;Industria y construcción;10-49;13;19;902,3;0
2351;260457;Mujer;23;Postsecundaria;Andalucía;Agricultura;50-249;46;14;1059,6;0
2352;309032;Hombre;25;Primaria o secundaria;Cataluña;Industria y construcción;1-9;15;18;839,1;0
2353;664116;Hombre;19;FP superior;Resto;Industria y construcción;1-9;9;15;872,2;1
2354;711802;Hombre;20;Primaria o secundaria;Resto;Servicios no de mercado;10-49;36;12;633,6;0
2355;329158;Hombre;22;Primaria o secundaria;Galicia;Hostelería;10-49;12;15;825,6;0
2356;505125;Hombre;19;Postsecundaria;Cataluña;Servicios alta cualificación y comercio;50-249;50;12;572,4;0
2357;775048;Hombre;21;Primaria o secundaria;Resto;Hostelería;1-9;27;15;619,4;1
2358;900433;Mujer;20;Postsecundaria;Castilla-La Mancha;Servicios no de mercado;250+;13;13;790,2;0
2359;116557;Hombre;26;Primaria o secundaria;C. Valenciana;Servicios no de mercado;50-249;27;10;984,7;0
2360;948948;Hombre;21;Postsecundaria;Resto;Hostelería;1-9;46;12;656,0;1
2361;944236;Hombre;22;Primaria o secundaria;Resto;Servicios no de mercado;1-9;14;16;935,4;0
2362;454495;Hombre;20;Primaria o secundaria;Cataluña;Hostelería;1-9;3;14;829,7;0
2363;365221;Hombre;23;FP superior;Cataluña;Servicios no de mercado;1-9;11;19;953,8;0
2364;252677;Hombre;22;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;10-49;42;10;750,6;0
2365;627745;Hombre;28;Primaria o secundaria;Resto;Industria y construcción;10-49;9;8;982,9;1
2366;805007;Mujer;29;Postsecundaria;Madrid;Servicios no de mercado;10-49;15;11;904,0;1
2367;186265;Mujer;24;Postsecundaria;Resto;Hostelería;50-249;14;8;982,2;1
2368;141802;Mujer;21;FP superior;Andalucía;Hostelería;10-49;34;11;940,0;1
2369;168668;Hombre;27;Postsecundaria;Resto;Hostelería;1-9;20;12;975,9;1
2370;683777;Hombre;16;Primaria o secundaria;Cataluña;Servicios no de mercado;10-49;31;11;712,1;0
2371;862158;Mujer;20;Primaria o secundaria;Resto;Hostelería;50-249;23;17;697,1;1
2372;488825;Mujer;29;Postsecundaria;Madrid;Servicios alta cualificación y comercio;50-249;37;12;1002,4;0
2373;617424;Hombre;22;FP superior;Castilla y León;Servicios no de mercado;10-49;13;17;795,0;0
2374;401073;Mujer;16;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;1-9;35;7;693,2;1
2375;905294;Hombre;19;Primaria o secundaria;Resto;Servicios no de mercado;250+;17;11;661,2;0
2376;286520;Hombre;27;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;10-49;26;9;899,1;0
2377;646516;Hombre;20;Primaria o secundaria;Resto;Industria y construcción;1-9;19;13;841,2;0
2378;936310;Mujer;27;Primaria o secundaria;Andalucía;Hostelería;1-9;12;15;1038,1;1
2379;949068;Hombre;23;Postsecundaria;Madrid;Industria y construcción;1-9;38;13;1213,1;1
2380;624610;Hombre;16;Primaria o secundaria;Castilla y León;Industria y construcción;50-249;8;15;691,1;1
2381;206345;Hombre;27;Primaria o secundaria;C. Valenciana;Industria y construcción;50-249;14;8;1107,8;0
2382;659219;Hombre;25;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;250+;14;13;765,0;0
2383;141467;Hombre;23;Primaria o secundaria;Resto;Industria y construcción;50-249;25;15;941,4;0
2384;654555;Hombre;28;Primaria o secundaria;Resto;Hostelería;10-49;10;11;953,1;0
2385;260742;Mujer;22;Primaria o secundaria;País Vasco;Servicios alta cualificación y comercio;10-49;22;11;766,1;1
2386;132382;Mujer;24;Primaria o secundaria;Madrid;Servicios no de mercado;1-9;49;13;859,8;0
2387;392358;Mujer;25;Primaria o secundaria;Andalucía;Servicios no de mercado;1-9;6;11;877,0;0
2388;473938;Mujer;21;Postsecundaria;Cataluña;Servicios alta cualificación y comercio;1-9;20;15;884,9;1
2389;250429;Hombre;21;Primaria o secundaria;Andalucía;Hostelería;10-49;47;11;773,0;0
2390;653665;Hombre;22;Primaria o secundaria;Resto;Industria y construcción;50-249;22;15;818,5;0
2391;347865;Hombre;29;Primaria o secundaria;Resto;Hostelería;1-9;10;12;926,1;0
2392;201265;Hombre;24;FP superior;C. Valenciana;Servicios alta cualificación y comercio;1-9;8;5;1193,0;1
2393;751471;Hombre;20;Primaria o secundaria;Andalucía;Servicios no de mercado;10-49;15;10;718,0;1
2394;865413;Hombre;22;Postsecundaria;Resto;Servicios alta cualificación y comercio;10-49;26;17;840,0;0
2395;148823;Mujer;26;Postsecundaria;Galicia;Servicios no de mercado;10-49;30;20;891,7;0
2396;543574;Hombre;21;Primaria o secundaria;País Vasco;Hostelería;1-9;50;9;837,0;0
2397;218455;Hombre;19;Primaria o secundaria;Resto;Hostelería;10-49;35;10;704,6;1
2398;331366;Mujer;20;Primaria o secundaria;Andalucía;Servicios no de mercado;50-249;13;8;876,5;0
2399;947664;Hombre;23;Primaria o secundaria;Madrid;Hostelería;1-9;33;14;849,3;0
2400;203082;Hombre;24;Postsecundaria;País Vasco;Agricultura;50-249;28;12;755,2;0
2401;587528;Hombre;23;Primaria o secundaria;Madrid;Servicios alta cualificación y comercio;250+;6;10;986,0;1
2402;415165;Hombre;26;Primaria o secundaria;C. Valenciana;Servicios alta cualificación y comercio;10-49;6;14;786,1;0
2403;630968;Hombre;28;Postsecundaria;Galicia;Industria y construcción;1-9;32;8;1059,5;0
2404;288911;Hombre;24;Postsecundaria;Resto;Hostelería;1-9;50;15;912,2;0
2405;478526;Hombre;16;Primaria o secundaria;Andalucía;Industria y construcción;10-49;5;16;569,7;0
2406;661689;Hombre;19;Postsecundaria;Castilla y León;Agricultura;50-249;38;9;796,6;0
2407;594847;Mujer;23;Primaria o secundaria;Resto;Industria y construcción;1-9;22;7;968,7;0
2408;490400;Hombre;23;Primaria o secundaria;Castilla-La Mancha;Servicios alta cualificación y comercio;1-9;7;6;682,9;0
2409;653340;Hombre;25;Primaria o secundaria;Madrid;Industria y construcción;1-9;47;13;867,6;0
2410;158785;Mujer;33;Primaria o secundaria;Cataluña;Industria y construcción;1-9;17;13;1218,5;0
2411;285427;Hombre;22;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;50-249;43;8;801,4;0
2412;215061;Hombre;19;Postsecundaria;Resto;Hostelería;1-9;31;10;931,5;0
2413;965342;Hombre;18;Primaria o secundaria;Castilla y León;Servicios alta cualificación y comercio;1-9;10;10;910,9;0
2414;174123;Mujer;28;Primaria o secundaria;Cataluña;Servicios no de mercado;1-9;15;8;920,6;1
2415;987457;Mujer;20;Postsecundaria;Resto;Servicios alta cualificación y comercio;250+;46;10;613,3;0
2416;642359;Hombre;25;Postsecundaria;Galicia;Industria y construcción;1-9;17;8;1100,9;1
2417;915862;Mujer;17;Primaria o secundaria;C. Valenciana;Servicios no de mercado;10-49;27;17;682,3;0
2418;439552;Mujer;22;Primaria o secundaria;Castilla-La Mancha;Industria y construcción;1-9;26;13;649,1;1
2419;606354;Mujer;22;Primaria o secundaria;País Vasco;Industria y construcción;50-249;11;13;1039,0;1
2420;899352;Mujer;20;Primaria o secundaria;País Vasco;Hostelería;1-9;27;7;786,3;0
2421;245866;Mujer;19;Primaria o secundaria;Castilla-La Mancha;Agricultura;250+;43;14;623,6;1
2422;874217;Hombre;28;Primaria o secundaria;C. Valenciana;Servicios alta cualificación y comercio;10-49;42;14;968,0;1
2423;273580;Hombre;26;Primaria o secundaria;Resto;Industria y construcción;50-249;38;9;1043,6;0
2424;461582;Hombre;21;Postsecundaria;Resto;Servicios no de mercado;1-9;7;13;736,8;1
2425;865912;Mujer;27;Primaria o secundaria;Andalucía;Hostelería;1-9;13;6;843,4;0
2426;256742;Mujer;27;Postsecundaria;Castilla y León;Hostelería;1-9;32;12;799,5;1
2427;834014;Hombre;26;Primaria o secundaria;Andalucía;Industria y construcción;50-249;33;19;714,8;0
2428;182686;Hombre;19;Primaria o secundaria;Resto;Servicios no de mercado;10-49;33;9;750,1;1
2429;795421;Mujer;16;Primaria o secundaria;C. Valenciana;Industria y construcción;1-9;19;11;752,5;0
2430;157024;Hombre;23;Primaria o secundaria;C. Valenciana;Hostelería;50-249;52;15;694,0;1
2431;906377;Hombre;23;Postsecundaria;Andalucía;Servicios no de mercado;1-9;41;14;883,1;1
2432;967277;Hombre;21;Primaria o secundaria;Resto;Hostelería;50-249;41;15;768,0;0
2433;990587;Mujer;20;Primaria o secundaria;Galicia;Industria y construcción;10-49;38;12;944,5;0
2434;639474;Hombre;27;Primaria o secundaria;Castilla y León;Servicios alta cualificación y comercio;50-249;36;12;1014,7;0
2435;710548;Hombre;25;Primaria o secundaria;Andalucía;Industria y construcción;50-249;15;15;961,0;1
2436;170219;Mujer;28;Postsecundaria;Cataluña;Servicios alta cualificación y comercio;1-9;25;9;998,1;1
2437;171836;Mujer;18;Primaria o secundaria;Madrid;Servicios alta cualificación y comercio;10-49;9;11;671,8;0
2438;817179;Mujer;26;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;10-49;30;14;857,0;0
2439;440880;Mujer;24;Primaria o secundaria;Castilla y León;Hostelería;1-9;29;12;672,7;1
2440;840446;Hombre;20;Primaria o secundaria;Andalucía;Agricultura;10-49;25;15;754,6;1
2441;873889;Mujer;24;Primaria o secundaria;País Vasco;Industria y construcción;1-9;5;9;828,0;0
2442;744037;Hombre;16;Primaria o secundaria;Resto;Industria y construcción;1-9;52;8;964,6;1
2443;649583;Hombre;20;Primaria o secundaria;Resto;Agricultura;250+;12;13;819,2;0
2444;845973;Hombre;26;FP superior;C. Valenciana;Servicios no de mercado;50-249;44;17;966,0;1
2445;312314;Mujer;28;Primaria o secundaria;Cataluña;Industria y construcción;1-9;3;15;902,3;1
2446;722754;Mujer;23;Primaria o secundaria;País Vasco;Servicios no de mercado;10-49;39;20;878,9;0
2447;383203;Mujer;26;Primaria o secundaria;Cataluña;Servicios alta cualificación y comercio;250+;45;21;787,9;0
2448;117185;Hombre;29;FP superior;Andalucía;Servicios alta cualificación y comercio;10-49;1;10;1105,2;0
2449;458621;Hombre;17;Postsecundaria;Cataluña;Agricultura;1-9;44;10;713,9;1
2450;680231;Hombre;24;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;1-9;12;11;895,7;0
2451;280934;Hombre;30;Primaria o secundaria;Madrid;Servicios alta cualificación y comercio;1-9;20;14;1016,7;0
2452;998548;Mujer;19;Primaria o secundaria;Madrid;Hostelería;50-249;13;12;685,7;0
2453;718861;Hombre;23;Primaria o secundaria;Resto;Industria y construcción;1-9;48;6;942,7;0
2454;491018;Hombre;25;Primaria o secundaria;País Vasco;Servicios alta cualificación y comercio;50-249;2;6;914,5;0
2455;784092;Hombre;21;Primaria o secundaria;Madrid;Servicios alta cualificación y comercio;50-249;31;14;780,6;0
2456;899971;Hombre;25;Primaria o secundaria;Castilla-La Mancha;Servicios no de mercado;10-49;12;8;1003,4;1
2457;513356;Hombre;29;Primaria o secundaria;C. Valenciana;Industria y construcción;10-49;17;9;1098,0;1
2458;820462;Hombre;25;Primaria o secundaria;Andalucía;Industria y construcción;1-9;40;15;663,7;0
2459;204979;Hombre;22;Postsecundaria;País Vasco;Industria y construcción;250+;49;10;906,8;0
2460;869183;Hombre;28;Primaria o secundaria;Madrid;Hostelería;10-49;18;11;956,3;1
2461;737456;Hombre;24;Primaria o secundaria;Andalucía;Industria y construcción;1-9;28;9;855,7;0
2462;634862;Hombre;28;Postsecundaria;Andalucía;Hostelería;50-249;35;13;928,0;0
2463;796827;Hombre;27;FP superior;Resto;Hostelería;1-9;49;16;1151,3;0
2464;908748;Mujer;22;Postsecundaria;País Vasco;Hostelería;1-9;14;5;799,1;0
2465;686753;Hombre;26;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;1-9;35;15;954,7;0
2466;104047;Mujer;16;Primaria o secundaria;Castilla-La Mancha;Servicios alta cualificación y comercio;10-49;32;9;630,6;0
2467;928764;Hombre;22;Primaria o secundaria;Resto;Industria y construcción;10-49;26;7;768,9;0
2468;548186;Mujer;19;Primaria o secundaria;C. Valenciana;Servicios alta cualificación y comercio;250+;41;12;706,4;1
2469;669072;Hombre;23;Primaria o secundaria;Madrid;Hostelería;10-49;19;16;766,2;1
2470;942864;Mujer;24;Postsecundaria;C. Valenciana;Hostelería;1-9;14;15;715,8;1
2471;461672;Mujer;24;Primaria o secundaria;Madrid;Servicios alta cualificación y comercio;1-9;38;14;875,8;0
2472;974628;Mujer;17;Postsecundaria;Castilla-La Mancha;Industria y construcción;250+;44;13;933,9;0
2473;721001;Mujer;31;Primaria o secundaria;Madrid;Servicios no de mercado;1-9;19;13;745,5;1
2474;517664;Mujer;21;Primaria o secundaria;Castilla-La Mancha;Hostelería;10-49;22;13;773,4;1
2475;818894;Hombre;28;Primaria o secundaria;Madrid;Servicios alta cualificación y comercio;1-9;14;15;872,4;0
2476;488725;Mujer;29;FP superior;Andalucía;Hostelería;1-9;24;14;979,4;0
2477;850166;Mujer;16;Postsecundaria;Andalucía;Servicios alta cualificación y comercio;1-9;24;10;717,2;1
2478;537645;Hombre;24;Postsecundaria;Andalucía;Hostelería;1-9;12;11;848,6;1
2479;509382;Hombre;20;FP superior;País Vasco;Industria y construcción;10-49;35;16;990,4;0
2480;203053;Hombre;20;Postsecundaria;Andalucía;Industria y construcción;10-49;22;14;868,5;0
2481;985151;Hombre;27;Primaria o secundaria;C. Valenciana;Servicios no de mercado;1-9;28;10;898,5;1
2482;280298;Mujer;16;Primaria o secundaria;Resto;Hostelería;1-9;23;9;714,1;0
2483;182606;Hombre;20;Postsecundaria;Resto;Hostelería;1-9;15;12;946,3;1
2484;973126;Hombre;26;Primaria o secundaria;Andalucía;Hostelería;10-49;40;15;832,3;1
2485;787362;Mujer;21;Postsecundaria;Castilla y León;Hostelería;10-49;19;12;760,1;1
2486;630032;Mujer;27;Primaria o secundaria;Cataluña;Industria y construcción;50-249;5;19;1033,1;0
2487;277052;Hombre;26;Primaria o secundaria;Andalucía;Hostelería;1-9;25;16;748,8;1
2488;175358;Mujer;28;Primaria o secundaria;Madrid;Servicios alta cualificación y comercio;10-49;28;10;926,4;0
2489;467045;Mujer;19;Primaria o secundaria;Galicia;Servicios alta cualificación y comercio;10-49;18;10;672,8;1
2490;939813;Hombre;23;FP superior;Castilla y León;Agricultura;10-49;38;17;859,4;1
2491;771314;Mujer;25;Primaria o secundaria;Galicia;Hostelería;10-49;17;11;834,6;0
2492;527691;Mujer;29;Postsecundaria;Andalucía;Hostelería;1-9;50;6;892,9;0
2493;694643;Mujer;26;Primaria o secundaria;Resto;Servicios no de mercado;1-9;4;13;1026,0;0
2494;250320;Hombre;20;Postsecundaria;Resto;Servicios alta cualificación y comercio;10-49;39;8;662,5;1
2495;672808;Hombre;20;Postsecundaria;Andalucía;Industria y construcción;1-9;31;8;1057,0;0
2496;167059;Mujer;26;Primaria o secundaria;País Vasco;Industria y construcción;10-49;35;10;750,0;1
2497;345389;Mujer;22;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;1-9;36;14;725,3;0
2498;796676;Hombre;21;Primaria o secundaria;C. Valenciana;Servicios alta cualificación y comercio;1-9;18;17;734,9;1
2499;749994;Mujer;21;Primaria o secundaria;Galicia;Industria y construcción;10-49;37;13;936,8;0
2500;882846;Hombre;20;Primaria o secundaria;Castilla y León;Servicios alta cualificación y comercio;10-49;37;19;814,4;0
2501;229962;Mujer;31;Primaria o secundaria;País Vasco;Servicios no de mercado;10-49;31;14;1008,6;0
2502;337282;Hombre;24;Primaria o secundaria;Resto;Hostelería;10-49;25;12;784,3;1
2503;198033;Mujer;26;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;50-249;29;5;983,4;0
2504;680896;Mujer;26;Primaria o secundaria;Galicia;Servicios no de mercado;10-49;26;10;865,3;0
2505;615783;Hombre;27;Primaria o secundaria;Madrid;Servicios alta cualificación y comercio;10-49;31;16;998,9;0
2506;176743;Hombre;20;Primaria o secundaria;Resto;Industria y construcción;50-249;28;5;895,3;0
2507;180181;Mujer;30;Primaria o secundaria;C. Valenciana;Servicios alta cualificación y comercio;10-49;48;12;1022,3;0
2508;146548;Mujer;25;Primaria o secundaria;Resto;Servicios alta cualificación y comercio;10-49;41;11;938,0;1
2509;413916;Mujer;21;Primaria o secundaria;Resto;Hostelería;50-249;4;7;549,1;0
2510;475057;Mujer;21;Primaria o secundaria;Resto;Industria y construcción;10-49;12;7;959,7;0
2511;138218;Hombre;23;Postsecundaria;Resto;Hostelería;10-49;1;15;986,3;1
2512;752014;Hombre;24;Postsecundaria;Cataluña;Servicios alta cualificación y comercio;50-249;22;10;854,7;1
2513;373347;Mujer;22;FP superior;Resto;Servicios alta cualificación y comercio;10-49;47;7;869,7;0
2514;881762;Mujer;20;Primaria o secundaria;Resto;Servicios no de mercado;1-9;20;14;820,5;0
2515;715143;Mujer;16;Primaria o secundaria;País Vasco;Servicios alta cualificación y comercio;50-249;10;11;702,2;1
2516;385250;Hombre;23;Primaria o secundaria;Andalucía;Industria y construcción;50-249;47;10;983,9;0
2517;991050;Mujer;26;Postsecundaria;Andalucía;Industria y construcción;1-9;27;13;1065,6;1
2518;113895;Mujer;18;Primaria o secundaria;C. Valenciana;Servicios alta cualificación y comercio;10-49;10;13;742,2;0
2519;711847;Hombre;27;Primaria o secundaria;C. Valenciana;Servicios no de mercado;50-249;24;11;968,0;0
2520;588258;Hombre;27;Primaria o secundaria;Castilla-La Mancha;Hostelería;1-9;47;11;1059,0;1
2521;691388;Hombre;18;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;1-9;10;11;881,9;0
2522;155739;Hombre;22;Primaria o secundaria;País Vasco;Servicios alta cualificación y comercio;1-9;26;6;856,4;0
2523;264709;Mujer;23;Primaria o secundaria;Andalucía;Hostelería;50-249;3;14;643,1;0
2524;484085;Hombre;19;Primaria o secundaria;Andalucía;Hostelería;10-49;13;14;646,2;0
2525;468531;Mujer;26;Primaria o secundaria;Andalucía;Hostelería;50-249;38;17;795,9;0
2526;368898;Mujer;18;Primaria o secundaria;Madrid;Servicios no de mercado;1-9;49;10;730,5;1
2527;987053;Hombre;24;Primaria o secundaria;Madrid;Servicios alta cualificación y comercio;1-9;11;6;739,2;1
2528;664047;Mujer;24;Primaria o secundaria;Resto;Servicios no de mercado;10-49;48;14;921,9;0
2529;384710;Hombre;28;Primaria o secundaria;Resto;Industria y construcción;10-49;21;15;1000,8;0
2530;320869;Hombre;32;Primaria o secundaria;Resto;Agricultura;1-9;6;19;958,4;1
2531;690470;Hombre;24;Primaria o secundaria;Cataluña;Hostelería;1-9;50;12;837,1;0
2532;639287;Hombre;19;Primaria o secundaria;Madrid;Industria y construcción;1-9;10;11;978,3;1
2533;369912;Hombre;28;Postsecundaria;Madrid;Servicios alta cualificación y comercio;10-49;25;12;1050,4;0
2534;379016;Hombre;21;Postsecundaria;Cataluña;Hostelería;1-9;41;14;902,1;0
2535;635154;Mujer;17;Primaria o secundaria;Madrid;Servicios alta cualificación y comercio;1-9;32;14;795,6;0
2536;985794;Mujer;16;FP superior;Andalucía;Hostelería;1-9;51;19;757,6;0
2537;205571;Hombre;27;Primaria o secundaria;C. Valenciana;Hostelería;1-9;30;8;558,9;0
2538;181924;Hombre;21;Primaria o secundaria;Resto;Servicios no de mercado;1-9;37;19;818,1;0
2539;245656;Mujer;23;Primaria o secundaria;Resto;Servicios no de mercado;50-249;44;20;917,9;0
2540;187399;Mujer;22;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;1-9;52;14;709,8;0
2541;137245;Hombre;27;Postsecundaria;Resto;Servicios alta cualificación y comercio;50-249;9;12;1155,0;0
2542;527903;Hombre;32;Primaria o secundaria;Andalucía;Servicios alta cualificación y comercio;10-49;33;10;921,4;0
2543;401373;Hombre;22;Primaria o secundaria;Cataluña;Industria y construcción;50-249;14;12;846,7;0
